"lang"
{
	"Language"	"russian"
	"DOTA_Tooltip_Ability_item_ogre_magi_ignite_lua_slow_movement_speed_pct_Description"            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает замедление скорости передвижения Ignite на %value%%."
	"DOTA_Tooltip_Ability_item_ogre_magi_ignite_lua_duration_Description"                           "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает длительность Ignite на %value% секунд."
	
	"DOTA_Tooltip_Ability_item_ogre_magi_bloodlust_lua_pct_cooldown_Description"                    "<h1>Обычный Фрагмент Скипетра</h1>Уменьшает перезарядку Bloodlust на %value%%." 
	"DOTA_Tooltip_Ability_item_ogre_magi_bloodlust_lua_bonus_movement_speed_Description"            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает бонус скорости атаки Bloodlust на %value%%."
	
	"DOTA_Tooltip_Ability_item_ogre_magi_bloodlust_lua_bonus_attack_speed_Description"              "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает бонус скорости атаки для союзников Bloodlust Allies на %value%."
	"DOTA_Tooltip_Ability_item_ogre_magi_bloodlust_lua_self_bonus_Description"                      "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает бонус скорости атаки для себя Bloodlust на %value%."
	"DOTA_Tooltip_Ability_item_ogre_magi_bloodlust_lua_duration_Description"                        "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает длительность Bloodlust на %value% секунд."
	
	"DOTA_Tooltip_Ability_item_ogre_magi_multicast_lua_multicast_3_times_Description"               "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает 3x шанс Multicast на %value%%." 
	"DOTA_Tooltip_Ability_item_ogre_magi_multicast_lua_multicast_4_times_Description"               "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает 4x шанс Multicast на %value%%." 
	"DOTA_Tooltip_Ability_item_ogre_magi_multicast_lua_bonus_cast_range_Description"                "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает пассивную дальность применения Multicast на %value%."
	
	
	//>---------------------------------------
	//>--- TALENT TREE -----------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_ogre_magi_bloodlust_lua+bonus_movement_speed"	"+{s:bonus_movement_speed}% к скорости передвижения Bloodlust"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_ogre_magi_fireblast_lua+fireblast_damage"	    "+{s:fireblast_damage} к урону Fireblast"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_ogre_magi_ignite_lua+burn_damage"	            "+{s:burn_damage} к урону в секунду Ignite"
	
	
	//>---------------------------------------
	//>--- MODIFIER --------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_modifier_ogre_magi_bloodlust_lua_buff"		                                    "Bloodlust"
	"DOTA_Tooltip_modifier_ogre_magi_bloodlust_lua_buff_Description"	                        	"Как обычная похоть, но более кровавая"
	
	"DOTA_Tooltip_modifier_ogre_magi_ignite_lua"	                                            	"Ignited"
	"DOTA_Tooltip_modifier_ogre_magi_ignite_lua_Description"                                		"Это хорошо"
	
	"DOTA_Tooltip_modifier_ogre_magi_multicast_lua"	                                            	"Somebody Once Told Me"
	"DOTA_Tooltip_modifier_ogre_magi_multicast_lua_Description"	                                	"Что мир катит меня\nЯ не самый острый инструмент в сарае\nОна выглядела немой с пальцем и большим пальцем\nформе буквы 'L' на лбу\n\nНу, годы начинают приходить и они не перестают приходить\nПоддерживая правила, и я сразу же взялся за дело\nБез смысла не жить ради удовольствия\nТвой мозг становится умным, но голова тупеет\n\nТак много нужно сделать, так что есть что посмотреть\nак что плохого в том, чтобы ходить по закоулкам?\nYou'll never know if you don't go\nТы никогда не узнаешь, если не пойдёшь\n\nТы никогда не засияешь, если не светишься\n\nЭй, теперь ты все- звезда, давай, играй, иди\nЭй, теперь ты рок-звезда, давай шоу, получай деньги\nвсе, что блестит, это золото\nТолько падающие звезды ломают шаблон"
